Date,Language,Count
2016-01-02,English,1
2016-01-01,English,1
2015-12-31,English,2
2015-12-30,English,1
2015-12-28,English,2
2015-12-27,English,1
2015-12-26,English,1
2015-12-23,English,1
2015-12-21,English,2
2015-12-19,English,1
2015-12-16,English,1
2015-12-15,English,1
2015-12-14,English,2
2015-12-12,English,2
2015-12-10,English,1
2015-12-08,English,1
2015-12-07,English,1
2015-12-06,English,2
2015-12-04,English,1
2015-12-03,English,1
2015-12-02,English,1
2015-12-01,English,1
2015-11-29,English,1
2015-11-27,English,2
2015-11-22,English,2
2015-11-20,English,3
2015-11-15,English,6
2015-11-14,English,2
2015-11-13,English,1
2015-11-12,English,1
2015-11-11,English,1
2015-11-09,English,1
2015-11-07,English,2
2015-11-05,English,2
2015-11-04,English,1
2015-11-03,English,2
2015-11-02,English,3
2015-11-01,English,3
2015-10-31,English,2
2015-10-29,English,2
2015-10-27,English,2
2015-10-26,English,1
2015-10-25,English,2
2015-10-24,English,1
2015-10-23,English,1
2015-10-22,English,2
2015-10-21,English,1
2015-10-20,English,3
2015-10-19,English,3
2015-10-16,English,2
2015-10-15,English,1
2015-10-14,English,4
2015-10-13,English,1
2015-10-12,English,1
2015-10-11,English,1
2015-10-10,English,2
2015-10-08,English,3
2015-10-07,English,3
2015-10-06,English,2
2015-10-05,English,1
2015-10-04,English,2
2015-10-03,English,2
2015-10-02,English,1
2015-09-28,English,1
2015-09-23,English,1
2015-09-22,English,2
2015-09-18,English,2
2015-09-17,English,1
2015-09-16,English,1
2015-09-15,English,1
2015-09-14,English,2
2015-09-13,English,3
2015-09-12,English,1
2015-09-11,English,1
2015-09-09,English,1
2015-09-08,English,2
2015-09-06,English,2
2015-09-05,English,1
2015-09-03,English,2
2015-09-02,English,1
2015-09-01,English,2
2015-08-31,English,2
2015-08-30,English,4
2015-08-29,English,3
2015-08-28,English,1
2015-08-27,English,2
2015-08-25,English,2
2015-08-24,English,2
2015-08-23,English,4
2015-08-22,English,2
2015-08-20,English,2
2015-08-19,English,5
2015-08-12,English,3
2015-08-08,English,1
2015-08-05,English,3
2015-08-04,English,2
2015-08-03,English,1
2015-08-02,English,2
2015-07-29,English,1
2015-07-28,English,2
2015-07-27,English,1
2015-07-26,English,2
2015-07-25,English,2
2015-07-24,English,6
2015-07-23,English,2
2015-07-22,English,1
2015-07-21,English,1
2015-07-20,English,1
2015-07-18,English,1
2015-07-17,English,1
2015-07-16,English,1
2015-07-15,English,1
2015-07-14,English,3
2015-07-13,English,1
2015-07-12,English,2
2015-07-11,English,2
2015-07-10,English,1
2015-07-09,English,1
2015-07-07,English,1
2015-07-05,English,1
2015-07-04,English,2
2015-07-03,English,1
2015-07-02,English,1
2015-07-01,English,2
2015-06-29,English,6
2015-06-28,English,1
2015-06-27,English,1
2015-06-26,English,3
2015-06-25,English,1
2015-06-24,English,3
2015-06-23,English,1
2015-06-18,English,1
2015-06-16,English,1
2015-06-14,English,2
2015-06-11,English,3
2015-06-10,English,1
2015-06-09,English,2
2015-06-07,English,1
2015-06-06,English,1
2015-06-05,English,1
2015-06-03,English,1
2015-05-31,English,3
2015-05-30,English,1
2015-05-29,English,2
2015-05-28,English,2
2015-05-26,English,1
2015-05-25,English,3
2015-05-23,English,1
2015-05-22,English,1
2015-05-21,English,2
2015-05-20,English,1
2015-05-19,English,4
2015-05-16,English,1
2015-05-15,English,3
2015-05-14,English,5
2015-05-12,English,2
2015-05-11,English,2
2015-05-10,English,1
2015-05-07,English,4
2015-05-06,English,2
2015-05-03,English,3
2015-05-01,English,1
2015-04-28,English,1
2015-04-26,English,2
2015-04-25,English,2
2015-04-24,English,2
2015-04-23,English,1
2015-04-20,English,1
2015-04-19,English,1
2015-04-17,English,1
2015-04-16,English,3
2015-04-15,English,2
2015-04-13,English,1
2015-04-12,English,1
2015-04-10,English,1
2015-04-09,English,2
2015-04-08,English,2
2015-04-07,Italian,1
2015-04-07,English,3
2015-04-06,English,1
2015-04-03,English,1
2015-04-02,English,2
2015-04-01,English,1
2015-03-31,English,1
2015-03-30,English,3
2015-03-29,English,2
2015-03-27,English,5
2015-03-26,English,2
2015-03-25,English,2
2015-03-24,English,3
2015-03-23,English,3
2015-03-22,English,3
2015-03-21,English,4
2015-03-20,English,3
2015-03-19,English,3
2015-03-18,English,3
2015-03-17,English,3
2015-03-16,English,3
2015-03-15,English,1
2015-03-14,English,4
2015-03-13,English,3
2015-03-12,English,6
2015-03-11,English,4
2015-03-10,English,21
2015-03-09,English,27
2015-03-08,English,11
2015-03-07,English,12
2015-03-06,English,9
2015-03-05,English,11
2015-03-04,French,1
2015-03-04,English,8
2015-03-03,English,2
2015-03-01,English,1
2015-02-27,English,2
2015-02-26,English,1
2015-02-22,English,1
2015-02-21,English,2
2015-02-20,English,1
2015-02-19,English,1
2015-02-15,English,1
2015-02-14,English,2
2015-02-10,English,1
2015-02-09,English,3
2015-02-07,English,1
2015-02-06,English,1
2015-02-05,English,1
2015-02-04,English,1
2015-02-01,English,2
2015-01-31,English,1
2015-01-17,English,1
2015-01-12,English,1
2015-01-11,English,1
2015-01-08,English,1
2015-01-04,English,2
2014-12-25,English,1
2014-12-22,English,3
2014-12-20,English,1
2014-12-19,English,2
2014-12-18,English,1
2014-12-17,English,1
2014-12-16,English,1
2014-12-11,English,1
2014-12-08,English,1
2014-12-07,English,2
2014-12-05,English,1
2014-12-02,English,1
2014-11-30,English,1
2014-11-28,English,1
2014-11-25,English,1
2014-11-21,English,1
2014-11-20,English,1
2014-11-17,English,1
2014-11-16,English,2
2014-11-04,English,1
2014-11-03,English,1
2014-11-02,English,2
2014-11-01,English,1
2014-10-28,English,1
2014-10-26,English,2
2014-10-25,English,1
2014-10-23,English,1
2014-10-20,English,1
2014-10-16,English,1
2014-10-15,English,1
2014-10-14,English,1
2014-10-12,English,1
2014-10-06,English,1
2014-10-01,English,1
2014-09-27,English,1
2014-09-24,English,1
2014-09-18,English,1
2014-09-12,English,1
2014-09-11,English,1
2014-09-05,English,2
2014-09-01,English,2
2014-08-31,English,2
2014-08-27,English,1
2014-08-25,English,1
2014-08-21,English,1
2014-08-19,English,1
2014-08-17,English,2
2014-08-15,English,1
2014-08-14,English,1
2014-08-10,English,1
2014-08-07,English,1
2014-08-02,English,1
2014-07-30,English,1
2014-07-20,English,1
2014-07-18,English,1
2014-07-14,English,1
2014-07-04,English,2
2014-07-01,English,1
2014-06-22,English,1
2014-06-13,English,1
2014-06-10,English,1
2014-06-05,English,1
2014-05-29,English,1
2014-05-11,English,1
2014-05-08,English,1
2014-05-03,English,1
2014-04-27,English,2
2014-04-19,English,1
2014-04-12,English,1
2014-04-09,English,1
2014-04-08,English,1
2014-04-06,English,1
2014-04-05,English,1
2014-03-31,English,1
2014-03-28,English,1
2014-03-27,English,1
2014-03-21,English,3
2014-03-20,English,2
2014-02-16,English,1
2014-02-07,English,1
2014-02-06,English,1
2014-02-02,English,1
2014-02-01,English,1
2014-01-28,English,1
2014-01-19,English,1
2014-01-18,English,1
2014-01-17,English,1
2014-01-13,English,1
2014-01-11,English,2
2014-01-08,English,1
2014-01-06,English,1
2014-01-05,English,1
2014-01-04,English,2
2013-12-29,English,1
2013-12-27,English,1
2013-12-26,English,1
2013-12-24,English,2
2013-12-23,English,1
2013-12-22,English,2
2013-12-16,English,1
2013-12-10,English,2
2013-12-03,English,1
2013-12-02,English,1
2013-11-29,English,1
2013-11-24,English,1
2013-11-19,English,1
2013-11-08,English,1
2013-11-02,English,2
2013-10-31,English,1
2013-10-27,English,1
2013-10-25,English,1
2013-10-23,English,1
2013-10-18,English,2
2013-10-09,English,1
2013-10-03,English,2
2013-09-23,English,1
2013-09-08,English,1
2013-09-01,English,1
2013-08-26,English,1
2013-08-05,English,1
2013-08-03,English,1
2013-08-02,English,1
2013-07-31,English,1
2013-07-29,English,1
2013-07-16,English,1
2013-07-14,English,2
2013-07-08,English,1
2013-06-27,English,1
2013-06-19,English,1
2013-06-16,English,1
2013-06-13,English,1
2013-06-08,English,1
2013-06-01,English,2
2013-05-30,English,1
2013-04-29,German,1
2013-04-29,English,1
2013-04-24,English,2
2013-04-23,English,1
2013-03-28,English,1
2013-03-19,English,1
2013-03-17,English,1
2013-03-16,English,1
2013-03-05,English,1
2013-03-04,English,2
2013-02-24,English,1
2013-02-21,English,1
2013-02-19,English,1
2013-02-15,English,1
2013-01-30,English,1
2013-01-26,English,2
2013-01-22,English,1
2013-01-20,English,1
2013-01-19,English,1
2013-01-18,English,1
2013-01-17,English,1
2013-01-13,English,1
2013-01-05,English,1
2013-01-04,English,2
2013-01-01,English,1
2012-12-30,English,2
2012-12-29,English,1
2012-12-27,English,2
