Date,Language,Count
2015-12-13,English,1
2015-12-06,Korean,1
2015-12-02,Russian,1
2015-11-25,English,1
2015-11-19,Spanish,1
2015-11-08,Italian,1
2015-11-05,Spanish,1
2015-10-26,Portuguese,1
2015-10-26,English,2
2015-10-24,English,1
2015-10-22,English,1
2015-10-21,English,1
2015-10-19,German,1
2015-10-18,Italian,1
2015-10-16,English,1
2015-10-14,English,1
2015-10-10,English,1
2015-10-09,Spanish,1
2015-10-09,Italian,1
2015-10-01,English,1
2015-09-30,English,1
2015-09-26,English,1
2015-09-22,French,1
2015-09-21,Thai,1
2015-09-21,English,1
2015-09-20,English,2
2015-09-15,English,1
2015-09-14,German,1
2015-09-07,English,1
2015-09-05,English,1
2015-09-04,German,1
2015-09-03,German,1
2015-09-02,English,1
2015-08-29,English,1
2015-08-26,Spanish,1
2015-08-24,French,1
2015-08-21,English,1
2015-08-19,English,1
2015-08-14,English,1
2015-08-09,Spanish,1
2015-08-08,German,1
2015-08-04,English,1
2015-07-31,English,1
2015-07-27,Spanish,1
2015-07-26,English,1
2015-07-25,Portuguese,1
2015-07-24,English,1
2015-07-11,English,1
2015-07-07,English,1
2015-07-02,Italian,1
2015-06-28,Turkish,1
2015-06-20,English,1
2015-06-19,English,1
2015-06-18,English,1
2015-06-14,Spanish,1
2015-06-14,French,1
2015-06-14,English,1
2015-06-12,Russian,1
2015-06-07,English,1
2015-06-04,Spanish,1
2015-05-29,English,1
2015-05-25,English,1
2015-05-24,English,1
2015-05-22,English,2
2015-05-19,English,2
2015-05-17,Spanish,1
2015-05-17,English,1
2015-05-14,English,1
2015-05-13,German,1
2015-05-13,Chinese (Traditional),1
2015-05-09,Spanish,1
2015-05-08,Portuguese,1
2015-05-08,English,1
2015-05-07,Portuguese,1
2015-05-04,English,1
2015-05-03,German,1
2015-04-23,English,1
2015-04-11,German,1
2015-04-11,English,1
2015-04-10,Italian,1
2015-04-10,English,1
2015-04-06,German,1
2015-04-02,Turkish,1
2015-04-01,Portuguese,1
2015-03-27,English,1
2015-03-21,English,1
2015-01-12,English,1
2015-01-11,Spanish,1
2015-01-11,Portuguese,1
2015-01-11,English,2
2015-01-10,Spanish,1
2015-01-08,German,1
2015-01-06,Spanish,1
2015-01-06,German,1
2015-01-03,English,1
2015-01-01,Spanish,1
2015-01-01,Portuguese,1
2014-12-31,German,1
2014-12-31,English,1
2014-12-30,Spanish,1
2014-12-29,Portuguese,1
2014-12-26,Portuguese,1
2014-12-26,English,1
2014-12-25,Spanish,1
2014-12-24,English,1
2014-12-21,German,1
2014-12-19,Portuguese,1
2014-12-19,English,1
2014-12-18,Russian,1
2014-12-02,Spanish,1
2014-12-02,English,1
2014-11-30,Spanish,1
2014-11-29,Spanish,1
2014-11-27,Spanish,1
2014-11-27,Japanese,1
2014-11-26,Spanish,1
2014-11-25,English,1
2014-11-24,English,1
2014-11-22,Spanish,1
2014-11-22,German,1
2014-11-21,Spanish,2
2014-11-21,English,2
2014-11-20,German,1
2014-11-19,Spanish,1
2014-11-18,Spanish,1
2014-11-17,Spanish,2
2014-11-17,Korean,1
2014-11-16,Spanish,1
2014-11-16,German,1
2014-11-14,Slovak,1
2014-11-14,English,1
2014-11-13,English,1
2014-11-12,Spanish,1
2014-11-12,German,1
2014-11-11,Spanish,2
2014-11-09,Spanish,1
2014-11-07,Spanish,2
2014-11-07,English,2
2014-11-06,Spanish,1
2014-11-06,English,1
2014-11-05,Spanish,1
2014-11-04,Russian,1
2014-11-03,English,1
2014-11-01,Turkish,1
2014-11-01,English,1
2014-10-31,Spanish,1
2014-10-31,German,1
2014-10-31,English,1
2014-10-30,Spanish,2
2014-10-29,Russian,1
2014-10-29,English,1
2014-10-28,Spanish,1
2014-10-27,Portuguese,1
2014-10-27,English,1
2014-10-26,Spanish,3
2014-10-25,Spanish,1
2014-10-25,Portuguese,2
2014-10-23,German,1
2014-10-23,English,1
2014-10-22,Portuguese,1
2014-10-21,Spanish,1
2014-10-20,Spanish,2
2014-10-20,English,1
2014-10-19,Spanish,1
2014-10-19,Portuguese,3
2014-10-19,English,1
2014-10-18,English,3
2014-10-17,Portuguese,1
2014-10-16,English,2
2014-10-15,Spanish,1
2014-10-14,Spanish,1
2014-10-14,Portuguese,1
2014-10-14,English,1
2014-10-12,Spanish,1
2014-10-12,German,1
2014-10-11,English,1
2014-10-10,Spanish,1
2014-10-10,German,1
2014-10-10,English,2
2014-10-08,English,2
2014-10-07,Spanish,1
2014-10-07,English,1
2014-10-06,Spanish,3
2014-10-02,Spanish,2
2014-09-30,Spanish,1
2014-09-30,Russian,1
2014-09-30,Portuguese,1
2014-09-22,English,1
2014-09-20,Spanish,1
2014-09-04,Italian,1
2014-09-03,English,1
2014-09-01,English,1
2014-08-31,English,1
2014-08-30,English,1
2014-08-28,German,1
2014-08-25,English,1
2014-08-23,German,1
2014-08-20,English,1
2014-08-16,English,1
2014-08-15,English,1
2014-08-13,Spanish,1
2014-08-12,English,1
2014-08-08,English,1
2014-08-05,English,1
2014-08-04,Polish,1
2014-07-24,English,1
2014-07-21,Hungarian,1
2014-07-20,German,2
2014-07-18,English,1
2014-07-15,English,1
2014-07-09,English,1
2014-07-07,Italian,1
2014-07-05,English,1
2014-07-04,German,1
2014-07-04,English,1
2014-07-03,English,3
2014-06-08,English,1
2014-05-31,Spanish,1
2014-05-24,English,1
2014-05-23,English,1
2014-05-21,English,1
2014-05-10,English,1
2014-05-09,English,1
2014-05-07,German,1
2014-05-05,Spanish,1
2014-05-01,English,1
2014-04-27,English,1
2014-04-26,Portuguese,1
2014-04-25,English,1
2014-04-22,Russian,1
2014-04-20,English,1
2014-04-18,English,1
2014-04-15,Spanish,1
2014-04-02,English,1
2014-04-01,Spanish,1
2014-03-30,English,1
2014-03-29,English,1
2014-03-27,Portuguese,1
2014-03-25,German,1
2014-03-17,English,1
2014-03-12,English,1
2014-03-11,Spanish,1
2014-03-10,English,1
2014-03-04,English,1
2014-02-26,English,1
2014-02-25,German,1
2014-02-23,English,1
2014-02-22,English,1
2014-02-21,English,1
2014-02-20,Finnish,1
2014-02-19,German,1
2014-02-19,English,2
2014-02-15,Spanish,1
2014-02-09,English,1
2014-02-03,Greek,1
2014-02-02,English,1
2014-01-27,Polish,1
2014-01-27,English,1
2014-01-25,English,1
2014-01-19,Hungarian,1
2014-01-19,English,1
2014-01-17,English,1
2014-01-15,German,1
2014-01-11,Russian,1
2014-01-11,English,1
2014-01-10,Turkish,1
2014-01-06,English,1
2014-01-05,English,1
2014-01-03,Russian,1
2013-12-29,English,1
2013-12-24,English,1
