Word,Review Count,Positive Sentiment Count,Negative Sentiment Count
work,3,2,1
excelente,1,1,0
aplicacion,1,1,0
xperia,1,1,0
genial,1,1,0
detallitos,1,1,0
veces,1,1,0
desconecta,1,1,0
raro,1,1,0
pesa,1,1,0
nada,1,1,0
stupid,1,0,1
doesnt,1,0,1
is04にて使用,1,0,1
車内の受信器で、lismoコントロール目的でＤＬしましたが、リダイアルしか効かず、アンインストールしました,1,0,1
autostartonboot,1,1,0
dosn't,1,1,0
motoroi,1,1,0
execellent,1,1,0
galaxy,1,1,0
