Date,Language,Count
2015-03-22,English,1
2015-03-16,English,1
2015-03-15,Portuguese,1
2015-03-14,Portuguese,1
2015-03-14,English,1
2015-03-11,English,1
2015-03-06,Chinese (Simplified),1
2015-03-04,English,1
2015-02-26,English,1
2015-02-25,English,1
2015-02-22,English,1
2015-02-20,English,1
2015-02-19,Chinese (Simplified),1
2015-02-16,Chinese (Simplified),1
2015-02-14,English,1
2015-02-11,English,1
2015-02-05,Indonesian,1
2015-02-03,Chinese (Simplified),1
2015-01-31,Chinese (Simplified),1
2015-01-25,English,1
2015-01-23,English,1
2015-01-15,English,1
2015-01-14,English,2
2015-01-13,Chinese (Simplified),1
2014-12-29,English,1
2014-12-26,English,1
2014-12-24,Russian,1
2014-12-13,English,1
2014-12-11,English,1
2014-12-09,Russian,1
2014-12-06,English,1
2014-12-05,Chinese (Simplified),1
2014-12-05,English,1
2014-12-04,English,1
2014-12-02,English,1
2014-11-30,English,1
2014-11-28,Japanese,1
2014-11-27,Polish,1
2014-11-18,Chinese (Simplified),1
2014-11-17,Chinese (Simplified),1
2014-11-17,English,1
2014-11-16,English,1
2014-11-15,French,1
2014-11-14,Chinese (Simplified),1
2014-11-13,Chinese (Simplified),2
2014-11-09,English,3
2014-11-08,Spanish,1
2014-11-07,English,1
2014-11-03,Chinese (Simplified),1
2014-11-01,Chinese (Simplified),1
2014-11-01,English,1
2014-10-31,German,1
2014-10-30,English,1
2014-10-29,English,1
2014-10-17,German,1
2014-10-17,English,1
2014-10-16,Thai,1
2014-10-15,English,1
2014-10-13,Chinese (Simplified),1
2014-10-12,English,1
2014-10-11,Spanish,1
2014-10-07,French,1
2014-10-05,English,1
2014-10-02,English,2
2014-09-29,English,1
2014-09-27,Chinese (Simplified),1
2014-09-27,French,1
2014-09-27,English,1
2014-09-25,Chinese (Simplified),1
2014-09-13,English,1
2014-09-10,Chinese (Simplified),1
2014-09-03,Chinese (Simplified),1
2014-09-03,English,1
2014-09-02,English,1
2014-08-29,English,1
2014-08-26,Chinese (Simplified),1
2014-08-26,English,2
2014-08-16,English,1
2014-08-15,English,1
2014-08-14,Finnish,1
2014-08-09,English,1
2014-08-08,English,1
2014-07-29,English,2
2014-07-27,Chinese (Simplified),1
2014-07-21,Chinese (Simplified),1
2014-07-21,English,1
2014-07-15,Spanish,1
2014-07-12,English,1
2014-07-10,Chinese (Simplified),1
2014-07-09,Arabic,1
2014-07-09,English,1
2014-07-08,Spanish,1
2014-07-08,Russian,1
2014-07-07,Spanish,1
2014-06-28,Chinese (Simplified),1
2014-06-27,Chinese (Simplified),1
2014-06-25,Chinese (Simplified),1
2014-06-23,Spanish,1
2014-06-23,German,1
2014-06-23,English,1
2014-06-22,English,3
2014-06-19,English,3
2014-06-17,English,1
2014-06-06,English,1
2014-06-04,English,1
2014-06-01,German,1
2014-05-26,English,1
2014-05-25,Portuguese,1
2014-05-18,English,1
2014-05-15,English,1
2014-05-14,English,2
2014-05-05,Russian,1
2014-05-01,Arabic,1
2014-04-08,English,1
2014-04-05,English,1
2014-04-04,English,1
2014-03-19,English,1
2014-03-05,Czech,1
2014-03-03,English,1
2014-02-21,English,1
