Date,Language,Count
2017-05-22,German,1
2017-05-22,French,1
2017-05-21,English,1
2017-05-19,Italian,1
2017-05-14,English,2
2017-05-13,Thai,1
2017-05-13,German,1
2017-05-13,English,1
2017-05-12,Italian,1
2017-05-11,Portuguese,1
2017-05-11,Czech,1
2017-05-11,English,1
2017-05-10,Italian,1
2017-05-10,English,2
2017-05-09,Russian,1
2017-05-08,Portuguese,1
2017-05-08,French,1
2017-05-07,French,1
2017-05-06,English,1
2017-05-05,Spanish,2
2017-05-03,Norwegian,1
2017-05-03,English,1
2017-05-02,Hungarian,1
2017-05-02,English,1
2017-05-01,Polish,1
2017-04-29,Slovak,1
2017-04-29,Indonesian,1
2017-04-29,German,1
2017-04-28,French,1
2017-04-28,Dutch,1
2017-04-27,German,1
2017-04-27,French,1
2017-04-25,Turkish,1
2017-04-24,English,1
2017-04-22,Hungarian,1
2017-04-22,English,2
2017-04-21,French,1
2017-04-20,Portuguese,1
2017-04-20,Indonesian,1
2017-04-20,French,1
2017-04-20,English,1
2017-04-18,French,1
2017-04-16,Portuguese,1
2017-04-16,Dutch,1
2017-04-16,English,1
2017-04-14,English,1
2017-04-13,German,1
2017-04-13,Croatian,1
2017-04-13,English,1
2017-04-12,German,1
2017-04-11,Spanish,1
2017-04-11,Italian,1
2017-04-10,Russian,2
2017-04-10,English,1
2017-04-09,Polish,1
2017-04-08,Slovak,1
2017-04-08,German,1
2017-04-07,English,2
2017-04-04,French,1
2017-04-04,English,1
2017-04-03,French,1
2017-04-03,English,2
2017-04-02,English,1
2017-03-31,English,1
2017-03-30,Russian,1
2017-03-29,Spanish,1
2017-03-29,German,1
2017-03-28,German,1
2017-03-28,French,2
2017-03-27,Italian,1
2017-03-27,English,1
2017-03-26,German,1
2017-03-24,English,1
2017-03-23,German,1
2017-03-22,Portuguese,1
2017-03-22,German,1
2017-03-22,French,1
2017-03-22,English,2
2017-03-20,English,1
2017-03-18,Swedish,1
2017-03-18,Italian,1
2017-03-17,English,1
2017-03-15,Spanish,1
2017-03-15,German,1
2017-03-15,English,2
2017-03-14,Spanish,2
2017-03-14,Dutch,1
2017-03-14,English,1
2017-03-12,Turkish,1
2017-03-12,Spanish,1
2017-03-11,Italian,1
2017-03-11,French,1
2017-03-11,English,1
2017-03-10,Italian,1
2017-03-10,English,1
2017-03-09,Italian,1
2017-03-09,English,1
2017-03-08,Italian,1
2017-03-06,Portuguese,1
2017-03-06,English,1
2017-03-04,Polish,1
2017-03-04,English,1
2017-03-03,Italian,1
2017-03-02,English,1
2017-03-01,Russian,1
2017-03-01,Romanian,1
2017-03-01,English,2
2017-02-28,Polish,2
2017-02-28,German,1
2017-02-27,German,1
2017-02-25,Spanish,1
2017-02-25,English,1
2017-02-24,English,1
2017-02-23,English,1
2017-02-22,French,1
2017-02-20,English,1
2017-02-19,French,1
2017-02-17,French,1
2017-02-16,Spanish,1
2017-02-16,German,1
2017-02-16,Catalan,1
2017-02-16,French,1
2017-02-16,English,1
2017-02-14,Polish,1
2017-02-13,Indonesian,1
2017-02-13,German,1
2017-02-13,Chinese (Traditional),1
2017-02-13,Italian,2
2017-02-13,French,1
2017-02-13,English,1
2017-02-12,German,2
2017-02-12,English,1
2017-02-11,Italian,1
2017-02-11,French,1
2017-02-10,Spanish,2
