Date,Language,Rating,Count
2017-01-05,French,5,1
2017-01-05,English,5,1
2017-01-04,English,5,1
2017-01-03,Portuguese,5,1
2017-01-02,Portuguese,4,1
2017-01-02,Catalan,2,1
2017-01-02,Italian,4,1
2017-01-02,English,5,1
2017-01-01,Spanish,3,1
2017-01-01,Portuguese,5,1
2016-12-31,German,5,1
2016-12-31,Greek,5,1
2016-12-31,English,4,1
2016-12-30,Russian,1,1
2016-12-30,French,4,1
2016-12-30,English,5,1
2016-12-29,Spanish,5,1
2016-12-29,Polish,1,1
2016-12-29,Chinese (Traditional),3,1
2016-12-28,German,1,1
2016-12-28,German,5,1
2016-12-28,Italian,5,1
2016-12-27,Spanish,5,2
2016-12-27,English,5,1
2016-12-26,Czech,5,1
2016-12-26,English,4,1
2016-12-25,Russian,1,1
2016-12-25,French,5,1
2016-12-25,Japanese,4,1
2016-12-25,English,5,1
2016-12-24,Dutch,5,1
2016-12-23,Indonesian,4,1
2016-12-23,English,5,1
2016-12-23,English,4,1
2016-12-22,Spanish,4,2
2016-12-22,Spanish,2,1
2016-12-21,Turkish,4,1
2016-12-20,Serbian,5,1
2016-12-19,Spanish,4,1
2016-12-18,Russian,2,1
2016-12-18,German,1,1
2016-12-18,Finnish,5,1
2016-12-17,Spanish,3,1
2016-12-17,Hungarian,4,1
2016-12-16,Italian,5,1
2016-12-15,German,4,1
2016-12-15,English,5,1
2016-12-15,English,2,1
2016-12-14,French,4,1
2016-12-13,Spanish,4,1
2016-12-13,Finnish,5,1
2016-12-12,English,1,1
2016-12-11,Spanish,2,1
2016-12-11,Polish,5,1
2016-12-11,Lithuanian,4,1
2016-12-11,Estonian,5,1
2016-12-11,English,5,2
2016-12-10,Russian,1,1
2016-12-09,German,3,1
2016-12-09,French,5,1
2016-12-09,English,4,1
2016-12-09,English,3,2
2016-12-08,French,3,1
2016-12-08,English,2,1
2016-12-07,Portuguese,3,1
2016-12-07,German,1,1
2016-12-07,French,4,1
2016-12-06,Spanish,5,1
2016-12-06,Spanish,4,1
2016-12-06,German,5,1
2016-12-05,English,5,1
2016-12-04,Spanish,3,1
2016-12-02,Portuguese,5,1
2016-12-02,English,5,1
2016-12-01,Polish,3,1
2016-12-01,German,1,1
2016-12-01,Italian,1,1
2016-12-01,English,5,1
2016-11-30,English,5,1
2016-11-28,English,2,1
2016-11-28,English,4,1
2016-11-27,Spanish,4,1
2016-11-27,Spanish,5,1
2016-11-27,Portuguese,2,1
2016-11-27,Dutch,4,1
2016-11-26,English,5,1
2016-11-25,Italian,1,1
2016-11-25,English,1,1
2016-11-24,Spanish,5,1
2016-11-23,Indonesian,3,1
2016-11-23,French,2,1
2016-11-23,English,3,1
2016-11-23,English,5,1
2016-11-22,Portuguese,5,1
2016-11-22,Portuguese,1,1
2016-11-22,Italian,5,1
2016-11-22,Italian,3,1
2016-11-22,English,3,1
2016-11-22,English,5,1
2016-11-21,Spanish,4,1
2016-11-21,Spanish,3,1
2016-11-20,Russian,5,1
2016-11-20,Portuguese,5,1
2016-11-20,Italian,1,1
2016-11-20,French,4,1
2016-11-19,Russian,5,1
2016-11-19,German,5,1
